Date,Ticker,P/E Ratio,Basic EPS,Free Cash Flow,Operating Cash Flow,Investing Cash Flow,Dividends,Net Income,Diluted EPS,Share Price,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Basic Average Shares,Diluted Average Shares
2024,AVGO,132.37882599117248,1.27,19414000000.0,19962000000.0,-23070000000.0,0.53,5895000000.0,1.23,168.12110900878906,165645000000.0,97967000000.0,67678000000.0,4624000000.0,4778000000.0
2023,AVGO,24.18374382848765,3.393,17633000000.0,18085000000.0,-689000000.0,0.46,14082000000.0,3.298,82.0554428100586,72861000000.0,48873000000.0,23988000000.0,4150000000.0,4270000000.0
2022,AVGO,16.31707578680367,2.73714,16312000000.0,16736000000.0,-667000000.0,0.41,11495000000.0,2.646368,44.6621208190918,73249000000.0,50540000000.0,22709000000.0,4100250544.0,4240601418.0
2021,AVGO,31.307755063446084,1.566075,13321000000.0,13764000000.0,-245000000.0,0.36,6736000000.0,1.49625,49.03029251098633,75570000000.0,50581000000.0,24989000000.0,4110275607.0,4300751793.0
AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO
Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.,Broadcom Inc.
Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology
1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000,1665105920000
352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6,352.6
2024,AAPL,37.957548900048586,6.11,108807000000.0,118254000000.0,2935000000.0,0.25,93736000000.0,6.08,231.92062377929688,364980000000.0,308030000000.0,56950000000.0,15343783000.0,15408095000.0
2023,AAPL,27.524234722186993,6.16,99584000000.0,110543000000.0,3705000000.0,0.24,96995000000.0,6.13,169.54928588867188,352583000000.0,290437000000.0,62146000000.0,15744231000.0,15812547000.0
2022,AAPL,22.12233628683943,6.15,111443000000.0,122151000000.0,-22354000000.0,0.23,99803000000.0,6.11,136.0523681640625,352755000000.0,302083000000.0,50672000000.0,16215963000.0,16325819000.0
2021,AAPL,24.43118625217014,5.67,92953000000.0,104038000000.0,-14545000000.0,0.22,94680000000.0,5.61,138.5248260498047,351002000000.0,287912000000.0,63090000000.0,16701272000.0,16864919000.0
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.
Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology
3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048,3850414850048
259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551,259.4551
2024,AMZN,38.761483991103965,5.66,32878000000.0,115877000000.0,-94342000000.0,0.0,59248000000.0,5.53,219.38999938964844,624894000000.0,338924000000.0,285970000000.0,10473000000.0,10721000000.0
2023,AMZN,51.505085573358045,2.95,32217000000.0,84946000000.0,-49833000000.0,0.0,30425000000.0,2.9,151.94000244140625,527854000000.0,325979000000.0,201875000000.0,10304000000.0,10492000000.0
2022,AMZN,-311.1111111111111,-0.27,-16893000000.0,46752000000.0,-37601000000.0,0.0,-2722000000.0,-0.27,84.0,462675000000.0,316632000000.0,146043000000.0,10189000000.0,10189000000.0
2021,AMZN,50.5509385200903,3.298,-14726000000.0,46327000000.0,-58154000000.0,0.0,33364000000.0,3.2405,166.7169952392578,420549000000.0,282304000000.0,138245000000.0,10120000000.0,10300000000.0
AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
"Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc."
Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical
2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864,2294875684864
215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18,215.18
2024,ADBE,41.50683770521169,12.43,7873000000.0,8056000000.0,149000000.0,0.0065,5560000000.0,12.36,515.9299926757812,30230000000.0,16125000000.0,14105000000.0,447000000.0,450000000.0
2023,ADBE,51.475148253211884,11.87,6942000000.0,7302000000.0,776000000.0,0.0065,5428000000.0,11.82,611.010009765625,29779000000.0,13261000000.0,16518000000.0,457000000.0,459000000.0
2022,ADBE,34.05034478536833,10.13,7396000000.0,7838000000.0,-570000000.0,0.0065,4756000000.0,10.1,344.92999267578125,27165000000.0,13114000000.0,14051000000.0,470000000.0,471000000.0
2021,ADBE,66.32177976098392,10.1,6882000000.0,7230000000.0,-3537000000.0,0.0065,4822000000.0,10.02,669.8499755859375,27241000000.0,12444000000.0,14797000000.0,477000000.0,481000000.0
ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE
Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.,Adobe Inc.
Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology
142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624,142395162624
340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17,340.17
